"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","23230","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","800","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","800","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","800","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","900","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","900","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","800","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","900","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","800","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","PayPay","","一括","900","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","QUICPay","1***","","1000","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","iD","2***","一括","800","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","交通系電子マネー","6736","","900","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","交通系電子マネー","3042","","750","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","交通系電子マネー","6740","","900","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","交通系電子マネー","2377","","900","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","交通系電子マネー","9415","","1100","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","Visa","2013","一括","23914","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","Visa","9142","一括","13640","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","American Express","2004","一括","4186","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","Visa","5007","一括","900","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","JCB","1047","一括","900","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","Visa","5555","一括","800","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","Visa","4655","一括","900","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-19","JCB","1164","一括","900","非課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-18","PayPay","","一括","1550","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-18","PayPay","","一括","1000","課税",""
"2025-11-26","049014288001","AKR8619624549","大衆サカバ　牡蠣る。","2025-11-18","PayPay","","一括","900","課税",""
