"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","PayPay","","一括","11121","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","PayPay","","一括","9482","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","PayPay","","一括","950","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","QUICPay","2***","","13007","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","Mastercard(R)","6697","一括","14520","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","Visa","0818","一括","18623","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","Visa","3826","一括","29766","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","Visa","3873","一括","21670","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","American Express","8206","一括","20000","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","American Express","1009","一括","22055","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","Mastercard(R)","2001","一括","18612","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-17","Visa","9299","一括","650","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","24048","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","800","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","850","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","PayPay","","一括","1100","課税",""
