"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","PayPay","","一括","900","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","8571","一括","21802","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","7703","一括","38236","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","8429","一括","22106","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","6858","一括","7824","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","1300","一括","1200","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","1300","一括","62136","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","5010","一括","20512","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","8705","一括","3564","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","American Express","6010","一括","4466","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","JCB","1003","一括","8731","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","6502","一括","1765","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","JCB","2793","一括","1100","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","7760","一括","900","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-17","Visa","9332","一括","900","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-16","楽天ペイ","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-16","PayPay","","一括","1140","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-16","UnionPay(銀聯)","9966","","5678","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-16","Mastercard(R)","5667","一括","18812","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-16","Visa","9878","一括","1200","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","PayPay","","一括","5456","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","PayPay","","一括","2535","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","PayPay","","一括","1200","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","QUICPay","8***","","1200","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","Visa","8467","一括","22397","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","Visa","7504","一括","30404","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","Visa","7207","一括","16745","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","Visa","5828","一括","20712","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","Visa","8429","一括","38104","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","JCB","5406","一括","12544","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","JCB","1027","一括","18612","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-15","Visa","9000","一括","30624","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-14","WeChat Pay","","一括","14212","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-14","QUICPay","5***","","1200","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-14","Visa","9168","一括","32868","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-14","Mastercard(R)","1408","一括","1400","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-14","American Express","2000","一括","21047","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","PayPay","","一括","13728","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","PayPay","","一括","2400","課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","Visa","6894","一括","29832","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","American Express","2784","一括","22725","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","Visa","7206","一括","13893","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","Mastercard(R)","6029","一括","21472","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","Visa","9032","一括","16192","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","JCB","4368","一括","22212","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","JCB","1096","一括","22132","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","Visa","4717","一括","65386","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","Mastercard(R)","5451","一括","13904","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","American Express","5104","一括","13595","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","Visa","7409","一括","23672","非課税",""
"2025-12-25","046981968011","AKR5043754583","Ｃｒａｂ　Ｓｈｒｉｍｐ","2025-12-13","American Express","1004","一括","2400","非課税",""
