"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","PayPay","","一括","11738","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","PayPay","","一括","1000","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","PayPay","","一括","500","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","PayPay","","一括","500","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","PayPay","","一括","500","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","交通系電子マネー","6597","","500","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","JCB","1103","一括","8987","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","JCB","4096","一括","36106","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","Visa","8104","一括","19492","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","Mastercard(R)","5968","一括","14476","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","JCB","1006","一括","13915","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","Visa","6025","一括","7084","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","JCB","0108","一括","15092","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","Mastercard(R)","0090","一括","14762","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","Mastercard(R)","4260","一括","950","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-19","JCB","1014","一括","500","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","PayPay","","一括","22473","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","PayPay","","一括","3784","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","PayPay","","一括","14256","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","PayPay","","一括","2662","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","PayPay","","一括","500","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","Visa","1564","一括","20658","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","JCB","1940","一括","20724","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","JCB","2216","一括","33550","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","Visa","6532","一括","4642","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","Visa","1709","一括","17944","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-18","Mastercard(R)","6007","一括","6344","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","PayPay","","一括","9548","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","PayPay","","一括","500","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Visa","5867","一括","5511","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Visa","0208","一括","36784","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Visa","2571","一括","8910","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Visa","8546","一括","33000","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Visa","4187","一括","11834","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Visa","4544","一括","10615","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Visa","3781","一括","12155","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-17","Mastercard(R)","4147","一括","5511","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","Mastercard(R)","0704","一括","12540","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","Mastercard(R)","9263","一括","10252","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","JCB","1067","一括","11682","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","Visa","2113","一括","19640","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","Visa","8120","一括","16632","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","Mastercard(R)","5080","一括","1386","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","Mastercard(R)","8314","一括","16148","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-16","Mastercard(R)","5303","一括","13948","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","PayPay","","一括","19712","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","PayPay","","一括","21452","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Mastercard(R)","6645","一括","14036","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","JCB","5584","一括","13948","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Visa","8402","一括","11968","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Visa","3692","一括","33384","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","American Express","5006","一括","7205","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","JCB","1109","一括","66768","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Mastercard(R)","0140","一括","14245","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","American Express","3006","一括","12926","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Mastercard(R)","1098","一括","38654","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Visa","6888","一括","14168","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","JCB","0702","一括","11997","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","JCB","1767","一括","14916","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","JCB","1812","一括","19778","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Visa","3348","一括","11396","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Visa","9245","一括","3674","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Visa","2897","一括","11584","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-15","Visa","4849","一括","4222","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","PayPay","","一括","5654","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","PayPay","","一括","9218","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","PayPay","","一括","12320","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","PayPay","","一括","23529","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","PayPay","","一括","24509","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","Visa","6289","一括","19624","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","American Express","1000","一括","19426","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","Visa","1324","一括","18392","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","Mastercard(R)","5180","一括","15026","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","Mastercard(R)","6088","一括","47058","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","Mastercard(R)","4000","一括","14300","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","JCB","1063","一括","13282","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","American Express","2002","一括","21450","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","JCB","1040","一括","9471","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","JCB","1185","一括","5500","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","Visa","9375","一括","15136","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","Visa","4361","一括","11638","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-14","American Express","7708","一括","3201","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-13","PayPay","","一括","38366","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-13","PayPay","","一括","11814","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-13","Visa","0824","一括","50347","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-13","Visa","1007","一括","5720","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-13","Mastercard(R)","8140","一括","14542","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-13","Visa","3742","一括","12551","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-13","JCB","8459","一括","3681","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-12","楽天ペイ","","一括","10632","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-12","PayPay","","一括","15642","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-12","PayPay","","一括","1426","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-12","Visa","4490","一括","17930","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-12","Visa","6673","一括","13156","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-12","Visa","6800","一括","12100","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-12","Visa","6028","一括","14300","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-11","PayPay","","一括","20130","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-11","PayPay","","一括","11341","課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-11","Visa","9645","一括","12188","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-11","Visa","6511","一括","17314","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-11","Visa","1872","一括","17952","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-11","Visa","6617","一括","19800","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","Mastercard(R)","3096","一括","13200","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","Mastercard(R)","0042","一括","37664","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","JCB","4147","一括","31240","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","Visa","8637","一括","29096","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","Mastercard(R)","2789","一括","26840","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","Visa","1353","一括","8877","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","Visa","0165","一括","12628","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","American Express","9011","一括","4642","非課税",""
"2025-11-26","045534248095","AKR5061995856","赤坂元気","2025-11-10","American Express","2003","一括","4554","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","0883","一括","19338","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","3996","一括","11407","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","1821","一括","7062","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","9001","一括","7062","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","5453","一括","23320","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","2148","一括","13288","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Mastercard(R)","7945","一括","13596","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","5628","一括","17853","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","5009","一括","9361","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-09","Visa","9877","一括","6534","非課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-08","楽天ペイ","","一括","14300","課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-08","PayPay","","一括","27819","課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-08","PayPay","","一括","14190","課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-08","PayPay","","一括","5610","課税",""
"2025-11-17","045534248095","AKR5061995856","赤坂元気","2025-11-08","Visa","5645","一括","12122","非課税",""
